carga_e,theta_max,theta_min
1.492,43,121
1.394,53,116
1.305,16,117
1.209,21,127
1.014,38,114
0.901,5,113
0.804,47,116
0.702,10,111
0.601,53,115
0.505,40,115
0.394,47,108
0.298,42,114
0.200,32,116
