carga_e,theta_max,theta_min
1.508,31,138
1.415,32,131
1.309,30,141
1.202,40,133
1.110,41,141
1.031,40,133
0.920,39,131
0.806,37,131
0.735,40,129
0.623,44,130
0.506,39,128
0.421,41,120
0.331,29,133
0.209,50,122
0.125,49,128
