carga_e,theta_max,theta_min
1.508,46,130
1.413,54,129
1.368,45,134
1.210,51,142
1.104,41,134
1.035,41,129
0.912,49,138
0.814,34,130
0.713,37,130
0.601,40,128
0.514,55,132
0.419,51,130
0.321,39,133
0.219,50,130
