carga_e,theta_max,theta_min
1.505,18,110
1.441,36,116
1.306,32,114
1.203,27,120
1.116,35,112
1.030,36,111
0.910,17,108
0.820,26,114
0.709,35,111
0.608,23,113
0.517,33,115
0.404,32,109
0.355,21,122
0.219,27,111
