carga_e,theta_max,theta_min
0.199,9,89
0.305,13,87
0.401,11,87
0.503,15,87
0.602,3,86
0.709,8,88
0.810,9,86
0.913,2,86
1.012,6,89
1.099,6,89
1.189,4,92
1.308,6,91
1.406,2,90
1.506,3,90









